                typname                |  oid  | typarray 
---------------------------------------+-------+----------
 bool                                  |    16 |     1000
 bytea                                 |    17 |     1001
 char                                  |    18 |     1002
 name                                  |    19 |     1003
 int8                                  |    20 |     1016
 int2                                  |    21 |     1005
 int2vector                            |    22 |     1006
 int4                                  |    23 |     1007
 regproc                               |    24 |     1008
 text                                  |    25 |     1009
 oid                                   |    26 |     1028
 tid                                   |    27 |     1010
 xid                                   |    28 |     1011
 cid                                   |    29 |     1012
 oidvector                             |    30 |     1013
 pg_ddl_command                        |    32 |        0
 pg_type                               |    71 |        0
 pg_attribute                          |    75 |        0
 pg_proc                               |    81 |        0
 pg_class                              |    83 |        0
 json                                  |   114 |      199
 xml                                   |   142 |      143
 _xml                                  |   143 |        0
 pg_node_tree                          |   194 |        0
 _json                                 |   199 |        0
 table_am_handler                      |   269 |        0
 index_am_handler                      |   325 |        0
 point                                 |   600 |     1017
 lseg                                  |   601 |     1018
 path                                  |   602 |     1019
 box                                   |   603 |     1020
 polygon                               |   604 |     1027
 line                                  |   628 |      629
 _line                                 |   629 |        0
 cidr                                  |   650 |      651
 _cidr                                 |   651 |        0
 float4                                |   700 |     1021
 float8                                |   701 |     1022
 unknown                               |   705 |        0
 circle                                |   718 |      719
 _circle                               |   719 |        0
 macaddr8                              |   774 |      775
 _macaddr8                             |   775 |        0
 money                                 |   790 |      791
 _money                                |   791 |        0
 macaddr                               |   829 |     1040
 inet                                  |   869 |     1041
 _bool                                 |  1000 |        0
 _bytea                                |  1001 |        0
 _char                                 |  1002 |        0
 _name                                 |  1003 |        0
 _int2                                 |  1005 |        0
 _int2vector                           |  1006 |        0
 _int4                                 |  1007 |        0
 _regproc                              |  1008 |        0
 _text                                 |  1009 |        0
 _tid                                  |  1010 |        0
 _xid                                  |  1011 |        0
 _cid                                  |  1012 |        0
 _oidvector                            |  1013 |        0
 _bpchar                               |  1014 |        0
 _varchar                              |  1015 |        0
 _int8                                 |  1016 |        0
 _point                                |  1017 |        0
 _lseg                                 |  1018 |        0
 _path                                 |  1019 |        0
 _box                                  |  1020 |        0
 _float4                               |  1021 |        0
 _float8                               |  1022 |        0
 _polygon                              |  1027 |        0
 _oid                                  |  1028 |        0
 aclitem                               |  1033 |     1034
 _aclitem                              |  1034 |        0
 _macaddr                              |  1040 |        0
 _inet                                 |  1041 |        0
 bpchar                                |  1042 |     1014
 varchar                               |  1043 |     1015
 date                                  |  1082 |     1182
 time                                  |  1083 |     1183
 timestamp                             |  1114 |     1115
 _timestamp                            |  1115 |        0
 _date                                 |  1182 |        0
 _time                                 |  1183 |        0
 timestamptz                           |  1184 |     1185
 _timestamptz                          |  1185 |        0
 interval                              |  1186 |     1187
 _interval                             |  1187 |        0
 _numeric                              |  1231 |        0
 pg_database                           |  1248 |        0
 _cstring                              |  1263 |        0
 timetz                                |  1266 |     1270
 _timetz                               |  1270 |        0
 bit                                   |  1560 |     1561
 _bit                                  |  1561 |        0
 varbit                                |  1562 |     1563
 _varbit                               |  1563 |        0
 numeric                               |  1700 |     1231
 refcursor                             |  1790 |     2201
 _refcursor                            |  2201 |        0
 regprocedure                          |  2202 |     2207
 regoper                               |  2203 |     2208
 regoperator                           |  2204 |     2209
 regclass                              |  2205 |     2210
 regtype                               |  2206 |     2211
 _regprocedure                         |  2207 |        0
